date,symbolKey,underlying,expiry,type,strike,contracts,cost_per_contract,price,value,pnl,pnl_pct
2025-08-29,HD 2027-01-15 C 420,HD,2027-01-15,call,420.00,1,25.95,39.48,3948.00,1353.00,52.14
2025-08-29,JNJ 2027-01-15 C 155,JNJ,2027-01-15,call,155.00,1,22.70,30.07,3007.00,737.00,32.47
2025-08-29,MCD 2027-01-15 C 340,MCD,2027-01-15,call,340.00,1,24.70,19.22,1922.00,-548.00,-22.19
2025-08-29,MWA 2026-02-20 C 22.5,MWA,2026-02-20,call,22.50,5,3.91,6.10,3050.00,1095.00,56.01
2025-08-29,NGD 2027-01-15 C 3,NGD,2027-01-15,call,3.00,10,1.15,2.95,2950.00,1800.00,156.52
2025-08-29,ORCL 2027-01-15 C 130,ORCL,2027-01-15,call,130.00,1,44.20,105.90,10590.00,6170.00,139.59
2025-08-29,RSVR 2026-01-16 C 5,RSVR,2026-01-16,call,5.00,11,2.72,3.15,3465.00,473.00,15.81
2025-08-29,TSLA 2027-06-17 C 800,TSLA,2027-06-17,call,800.00,1,22.95,30.35,3035.00,740.00,32.24
2025-08-30,CB 2027-01-15 C 300,CB,2027-01-15,call,300.00,1,42.70,16.55,1655.00,-2615.00,-61.24
2025-08-30,COF 2027-01-15 C 160,COF,2027-01-15,call,160.00,1,35.50,80.70,8070.00,4520.00,127.32
2025-08-30,DPZ 2027-01-15 C 580,DPZ,2027-01-15,call,580.00,1,37.60,22.45,2245.00,-1515.00,-40.29
2025-08-30,HD 2027-01-15 C 420,HD,2027-01-15,call,420.00,1,25.95,39.48,3948.00,1353.00,52.14
2025-08-30,JNJ 2027-01-15 C 155,JNJ,2027-01-15,call,155.00,1,22.70,30.07,3007.00,737.00,32.47
2025-08-30,MCD 2027-01-15 C 340,MCD,2027-01-15,call,340.00,1,24.70,19.22,1922.00,-548.00,-22.19
2025-08-30,MWA 2026-02-20 C 22.5,MWA,2026-02-20,call,22.50,5,3.91,5.85,2925.00,970.00,49.62
2025-08-30,NGD 2027-01-15 C 3,NGD,2027-01-15,call,3.00,10,1.15,3.15,3150.00,2000.00,173.91
2025-08-30,ORCL 2027-01-15 C 130,ORCL,2027-01-15,call,130.00,1,44.20,105.90,10590.00,6170.00,139.59
2025-08-30,RSVR 2026-01-16 C 5,RSVR,2026-01-16,call,5.00,11,2.72,3.10,3410.00,418.00,13.97
2025-08-30,TSLA 2027-06-17 C 800,TSLA,2027-06-17,call,800.00,1,22.95,30.35,3035.00,740.00,32.24
2025-08-31,CB 2027-01-15 C 300,CB,2027-01-15,call,300.00,1,42.70,16.55,1655.00,-2615.00,-61.24
2025-08-31,COF 2027-01-15 C 160,COF,2027-01-15,call,160.00,1,35.50,80.70,8070.00,4520.00,127.32
2025-08-31,DPZ 2027-01-15 C 580,DPZ,2027-01-15,call,580.00,1,37.60,22.45,2245.00,-1515.00,-40.29
2025-08-31,HD 2027-01-15 C 420,HD,2027-01-15,call,420.00,1,25.95,39.48,3948.00,1353.00,52.14
2025-08-31,JNJ 2027-01-15 C 155,JNJ,2027-01-15,call,155.00,1,22.70,30.07,3007.00,737.00,32.47
2025-08-31,MCD 2027-01-15 C 340,MCD,2027-01-15,call,340.00,1,24.70,19.22,1922.00,-548.00,-22.19
2025-08-31,MWA 2026-02-20 C 22.5,MWA,2026-02-20,call,22.50,5,3.91,5.85,2925.00,970.00,49.62
2025-08-31,NGD 2027-01-15 C 3,NGD,2027-01-15,call,3.00,10,1.15,3.15,3150.00,2000.00,173.91
2025-08-31,ORCL 2027-01-15 C 130,ORCL,2027-01-15,call,130.00,1,44.20,105.90,10590.00,6170.00,139.59
2025-08-31,RSVR 2026-01-16 C 5,RSVR,2026-01-16,call,5.00,11,2.72,3.10,3410.00,418.00,13.97
2025-08-31,TSLA 2027-06-17 C 800,TSLA,2027-06-17,call,800.00,1,22.95,30.35,3035.00,740.00,32.24
2025-09-01,CB 2027-01-15 C 300,CB,2027-01-15,call,300.00,1,42.70,16.55,1655.00,-2615.00,-61.24
2025-09-01,COF 2027-01-15 C 160,COF,2027-01-15,call,160.00,1,35.50,80.70,8070.00,4520.00,127.32
2025-09-01,DPZ 2027-01-15 C 580,DPZ,2027-01-15,call,580.00,1,37.60,22.45,2245.00,-1515.00,-40.29
2025-09-01,HD 2027-01-15 C 420,HD,2027-01-15,call,420.00,1,25.95,39.48,3948.00,1353.00,52.14
2025-09-01,JNJ 2027-01-15 C 155,JNJ,2027-01-15,call,155.00,1,22.70,30.07,3007.00,737.00,32.47
2025-09-01,MCD 2027-01-15 C 340,MCD,2027-01-15,call,340.00,1,24.70,19.22,1922.00,-548.00,-22.19
2025-09-01,MWA 2026-02-20 C 22.5,MWA,2026-02-20,call,22.50,5,3.91,5.85,2925.00,970.00,49.62
2025-09-01,NGD 2027-01-15 C 3,NGD,2027-01-15,call,3.00,10,1.15,3.15,3150.00,2000.00,173.91
2025-09-01,ORCL 2027-01-15 C 130,ORCL,2027-01-15,call,130.00,1,44.20,105.90,10590.00,6170.00,139.59
2025-09-01,RSVR 2026-01-16 C 5,RSVR,2026-01-16,call,5.00,11,2.72,3.10,3410.00,418.00,13.97
2025-09-01,TSLA 2027-06-17 C 800,TSLA,2027-06-17,call,800.00,1,22.95,30.35,3035.00,740.00,32.24
2025-09-02,CB 2027-01-15 C 300,CB,2027-01-15,call,300.00,1,42.70,18.20,1820.00,-2450.00,-57.38
2025-09-02,COF 2027-01-15 C 160,COF,2027-01-15,call,160.00,1,35.50,76.90,7690.00,4140.00,116.62
2025-09-02,DPZ 2027-01-15 C 580,DPZ,2027-01-15,call,580.00,1,37.60,25.30,2530.00,-1230.00,-32.71
2025-09-02,HD 2027-01-15 C 420,HD,2027-01-15,call,420.00,1,25.95,39.25,3925.00,1330.00,51.25
2025-09-02,JNJ 2027-01-15 C 155,JNJ,2027-01-15,call,155.00,1,22.70,31.47,3147.00,877.00,38.63
2025-09-02,MCD 2027-01-15 C 340,MCD,2027-01-15,call,340.00,1,24.70,21.80,2180.00,-290.00,-11.74
2025-09-02,MWA 2026-02-20 C 22.5,MWA,2026-02-20,call,22.50,5,3.91,5.85,2925.00,970.00,49.62
2025-09-02,NGD 2027-01-15 C 3,NGD,2027-01-15,call,3.00,10,1.15,3.25,3250.00,2100.00,182.61
2025-09-02,ORCL 2027-01-15 C 130,ORCL,2027-01-15,call,130.00,1,44.20,105.20,10520.00,6100.00,138.01
2025-09-02,RSVR 2026-01-16 C 5,RSVR,2026-01-16,call,5.00,11,2.72,3.10,3410.00,418.00,13.97
2025-09-02,TSLA 2027-06-17 C 800,TSLA,2027-06-17,call,800.00,1,22.95,28.80,2880.00,585.00,25.49
2025-09-03,CB 2027-01-15 C 300,CB,2027-01-15,call,300.00,1,42.70,17.50,1750.00,-2520.00,-59.02
2025-09-03,COF 2027-01-15 C 160,COF,2027-01-15,call,160.00,1,35.50,73.30,7330.00,3780.00,106.48
2025-09-03,DPZ 2027-01-15 C 580,DPZ,2027-01-15,call,580.00,1,37.60,25.30,2530.00,-1230.00,-32.71
2025-09-03,HD 2027-01-15 C 420,HD,2027-01-15,call,420.00,1,25.95,39.98,3998.00,1403.00,54.07
2025-09-03,JNJ 2027-01-15 C 155,JNJ,2027-01-15,call,155.00,1,22.70,30.75,3075.00,805.00,35.46
2025-09-03,MCD 2027-01-15 C 340,MCD,2027-01-15,call,340.00,1,24.70,21.60,2160.00,-310.00,-12.55
2025-09-03,MWA 2026-02-20 C 22.5,MWA,2026-02-20,call,22.50,5,3.91,5.85,2925.00,970.00,49.62
2025-09-03,NGD 2027-01-15 C 3,NGD,2027-01-15,call,3.00,10,1.15,3.35,3350.00,2200.00,191.30
2025-09-03,ORCL 2027-01-15 C 130,ORCL,2027-01-15,call,130.00,1,44.20,103.73,10373.00,5953.00,134.68
2025-09-03,RSVR 2026-01-16 C 5,RSVR,2026-01-16,call,5.00,11,2.72,3.38,3718.00,726.00,24.26
2025-09-03,TSLA 2027-06-17 C 800,TSLA,2027-06-17,call,800.00,1,22.95,32.12,3212.00,917.00,39.96
